X_S42,Y_S42
3472822,5568868
3473078,5568882
3469751,5568273
3470007,5567860
3471799,5567480
3472567,5572048
3471800,5571598
3471800,5571678
3471800,5567587
3467961,5567525
3467961,5571903
3467961,5567603
3467961,5567703
3467961,5572073
3467961,5569775
3469753,5568538
3469753,5568455
3470777,5570177
3471289,5571170
3471801,5572121
3471801,5571906
3471801,5572001
3473594,5568276
3473594,5567440
3467194,5569069
3467706,5572130
3467962,5567788
3469754,5568633
3469754,5568760
3470778,5569668
3473595,5567525
3473595,5567800
3473595,5568080
3473595,5567610
3473595,5567890
3473595,5567705
3473595,5567980
3471547,5570627
3466940,5571717
3467964,5568858
3467964,5568758
3468220,5569358
3470268,5569141
3471036,5569066
3467197,5572650
3468989,5571140
3468989,5570950
3468989,5571045
3469757,5567990
3470013,5568140
3471293,5570442
3471293,5571543
3467198,5572750
3468222,5567948
3470782,5570259
3468223,5569603
3471039,5571064
3467968,5572268
3468480,5570134
3467969,5572367
3471041,5572457
3473602,5573046
3467970,5572467
3469506,5567585
3470786,5569579
3471042,5568476
3471810,5569976
3473603,5573146
3473603,5573473
3473603,5573238
3473603,5573566
3467971,5572566
3469507,5567795
3469507,5568100
3469507,5567895
3469507,5567695
3469507,5567995
3470787,5570392
3471811,5570647
3467972,5572646
3469508,5568307
3469508,5568430
3469508,5568200
3470020,5570937
3467973,5569365
3472069,5570340
3467462,5572377
3471046,5568387
3471814,5570318
3472838,5569941
3468231,5572136
3468999,5571265
3471303,5571610
3473608,5569802
3473608,5570145
3473608,5569942
3473608,5569700
3473608,5570045
3467720,5570180
3468232,5567768
3469000,5571350
3469000,5571632
3469000,5571445
3469000,5571732
3469000,5571545
3470792,5570269
3473609,5570590
3473609,5570900
3473609,5570695
3473609,5570462
3473609,5571000
3473609,5570795
3466953,5570832
3466953,5570587
3466953,5570884
3466953,5570672
3466953,5570752
3467721,5572195
3467721,5571229
3469001,5571840
3469001,5572125
3469001,5571935
3469001,5572030
3473610,5571100
3473610,5571205
3473610,5571320
3469002,5572610
3469002,5572392
3469002,5572220
3469002,5572512
3469002,5572315
3467723,5570515
3469003,5572705
3469003,5572812
3471819,5572260
3468236,5570553
3470796,5569474
3473869,5567696
3472078,5570018
3470287,5568000
3471311,5570558
3472079,5570878
3471568,5571048
3472336,5571148
3471057,5571299
3467730,5567902
3470034,5568925
3470034,5569023
3470802,5570327
3472338,5570116
3473362,5570025
3470803,5571109
3470803,5570369
3472083,5570662
3472595,5568074
3472595,5568181
3472595,5567946
3466964,5568972
3467220,5571480
3467732,5570310
3470548,5569707
3470804,5571134
3472596,5568804
3472596,5568904
3473621,5570247
3467989,5572054
3470037,5568830
3472853,5571920
3470806,5568519
3470806,5568354
3470806,5568434
3467223,5572900
3470039,5571316
3470807,5570084
3471575,5570523
3467736,5569872
3467992,5573128
3469784,5571065
3470808,5570651
3470808,5570469
3470808,5570556
3472600,5571374
3472600,5571666
3472600,5571176
3472600,5571474
3472600,5571274
3472600,5571574
3467993,5572966
3470809,5571239
3472601,5571886
3472601,5571779
3467482,5570422
3468250,5571661
3470298,5568365
3470298,5568450
3470810,5571339
3470810,5571624
3470810,5571419
3470810,5571509
3467227,5570130
3467227,5570215
3468251,5571936
3468251,5571831
3470811,5571729
3470811,5571829
3471067,5570645
3473371,5568342
3468508,5570674
3470812,5569969
3467485,5571439
3470557,5570479
3470302,5571141
3470558,5569642
3470814,5570434
3471070,5568299
3467999,5571333
3467999,5571123
3467999,5570905
3467999,5571228
3467999,5571018
3473632,5568311
3467488,5572765
3468000,5571438
3468000,5571560
3470560,5570646
3470816,5570734
3471072,5568381
3467233,5568304
3468001,5572098
3468001,5572248
3468001,5572030
3471073,5569568
3471329,5570724
3473377,5572827
3467746,5570045
3468002,5572608
3468002,5572428
3468002,5572518
3468002,5572333
3468514,5569798
3468003,5572723
3468003,5572833
3468259,5567678
3469283,5572912
3467748,5570795
3469796,5569575
3469796,5569658
3469796,5569750
3468261,5569695
3469797,5570318
3469797,5570118
3469797,5570218
3469797,5571265
3469797,5570018
3471077,5570469
3469798,5570418
3469798,5570735
3469798,5570543
3468007,5572115
3468007,5571993
3468775,5572716
3469799,5571168
3467240,5571745
3467240,5571822
3469544,5568447
3466985,5572682
3469801,5570828
3469801,5572183
3469801,5567477
3469801,5572095
3468266,5569515
3469802,5572368
3469802,5572633
3469802,5572455
3469802,5572278
3469802,5572550
3470570,5571411
3470826,5570829
3470826,5569788
3467243,5568269
3468011,5569858
3468011,5570658
3469803,5572873
3469803,5572718
3469803,5572803
3471595,5568274
3468268,5568368
3469036,5569581
3469036,5569679
3469036,5569764
3470828,5571187
3471084,5568555
3471084,5571137
3471340,5570987
3471596,5568802
3471596,5568352
3471596,5568902
3471596,5568707
3471596,5568452
3469037,5568763
3472622,5569028
3471087,5568255
3471599,5571090
3471599,5570912
3471599,5571012
3471599,5570815
3472111,5571028
3467760,5571929
3471600,5571612
3471600,5571382
3471600,5571175
3471600,5570933
3471600,5571487
3471600,5571282
3471856,5570291
3469041,5568639
3471601,5572380
3471601,5572163
3471601,5572263
3471601,5572055
3472113,5570417
3467762,5572332
3467763,5572038
3468275,5567813
3468787,5568721
3470323,5573083
3469812,5570915
3471604,5570707
3467509,5571574
3468021,5571873
3473397,5569542
3466998,5572772
3467766,5569807
3467766,5572430
3468278,5570820
3471350,5570438
3471606,5570798
3473398,5570137
3473398,5569647
3473398,5569947
3473398,5570237
3473398,5569742
3473398,5570037
3468023,5569630
3469559,5568569
3470327,5571193
3472631,5571957
3473399,5570572
3473399,5570354
3473399,5570877
3473399,5570677
3473399,5570977
3473399,5570777
3467768,5571578
3470072,5570976
3470840,5568302
3472376,5571851
3473400,5571109
3467001,5570893
3468025,5573200
3470585,5571591
3468026,5572177
3469818,5569647
3473402,5572687
3467259,5571227
3467259,5571304
3468027,5570252
3469819,5569811
3470587,5570533
3471355,5570533
3471867,5570454
3473403,5573574
3467260,5571394
3467260,5571484
3467260,5571562
3467772,5572523
3467005,5569211
3467773,5571714
3469822,5570723
3470334,5568998
3471102,5571388
3472894,5567461
3468031,5572283
3468799,5568846
3468799,5571171
3468799,5571281
3469311,5567571
3469823,5569752
3470079,5571362
3472127,5569157
3472895,5567596
