BP_from,BP_to,X_S42,Y_S42
4200,2725,3388791,5570340
2950,2725,3388115,5571846
3200,2950,3447680,5506495
1980,1958,3388506,5581864
3200,2950,3431719,5532165
2950,2700,3584266,5537600
7450,6850,3396693,5578594
3200,2950,3375673,5583070
1980,1760,3465933,5546617
2563,2420,3348721,5499953
3200,2950,3494249,5551479
5800,5300,3436440,5566912
2725,2340,3374967,5520020
2725,2340,3379552,5494854
1980,1560,3465810,5556734
2725,1988,3577141,5566149
5800,5300,3538567,5556192
7550,1380,3436250,5460165
4200,2725,3433990,5600388
7550,6200,3554205,5534632
6900,6550,3382300,5590519
7550,6200,3473634,5538450
7550,1380,3467223,5572900
7450,6850,3410439,5607273
6200,4200,3419715,5456773
3200,2950,3378611,5575033
2340,1988,3497054,5550903
3600,3225,3441108,5447913
1980,1560,3527887,5537787
3200,2950,3442246,5558440
2420,2340,3457628,5536936
6200,4200,3433434,5536163
7450,6850,3504519,5550517
6900,6550,3564464,5579650
7450,6850,3525319,5589873
6550,6150,3558774,5536138
3200,2950,3411316,5608696
7550,1380,3482858,5559563
7550,1380,3470440,5553259
1560,1380,3457838,5536914
3200,2950,3390083,5574531
2070,1988,3453542,5423911
5000,4800,3476677,5558925
2725,2340,3415421,5599724
7550,6200,3565832,5540816
7550,1380,3475126,5554110
7450,6850,3559170,5533461
7550,1380,3420190,5610649
2950,2725,3504013,5550364
1980,1760,3439915,5530912
7550,1380,3367445,5503603
1980,1560,3398359,5572568
2950,2700,3552023,5576048
5000,4800,3409807,5607501
7550,1380,3477179,5547778
7550,1380,3429750,5524375
2950,2700,3543838,5556170
6900,6550,3409995,5583191
3200,2950,3427132,5556919
4200,2725,3433221,5547977
3600,3225,3528964,5529986
3200,2950,3373650,5477875
2563,2420,3432817,5598718
7450,6850,3525309,5589923
7550,1380,3516529,5538004
2340,1988,3376674,5515556
5000,4800,3480233,5559731
1980,1560,3478209,5553706
2420,1988,3577141,5566149
7450,6850,3477179,5547778
7550,1380,3472657,5548060
2070,1988,3376369,5517069
1980,1958,3569677,5540494
2420,1988,3509191,5547986
2950,2725,3391548,5602235
4200,3550,3466890,5558210
7550,1380,3426809,5532412
1980,1760,3457149,5558443
6900,6550,3378907,5514990
7550,1380,3381398,5476727
1980,1560,3524181,5535069
6200,4200,3552729,5577216
7550,4250,3516654,5600990
7550,6200,3508749,5547373
4450,4200,3472169,5549662
2420,1988,3528964,5529986
2485,2340,3424296,5458350
7450,6850,3463047,5574007
6900,6550,3477436,5547949
2485,2340,3413903,5559932
7550,1380,3509191,5547986
4200,2725,3435537,5465282
6200,5750,3588149,5530140
4200,2725,3379805,5579265
4200,3550,3472140,5549844
2725,1988,3508558,5547683
7450,6850,3396703,5578584
3250,2975,3504449,5550437
3200,2725,3453727,5551611
6200,4200,3471340,5550091
2420,1988,3409374,5606987
2725,2340,3450872,5549995
4200,2725,3466924,5586894
3200,2950,3425877,5458462
6200,5750,3482766,5553171
2725,1988,3450121,5549762
2563,2340,3445940,5439001
2950,2725,3404619,5579672
6200,5750,3429558,5524127
7450,6850,3517680,5531986
6900,6550,3376645,5502780
7450,6850,3504468,5550617
3200,2950,3476682,5558865
2420,1988,3481783,5556487
5800,5300,3457658,5536926
6950,6200,3453175,5553416
4200,2725,3480053,5559700
7550,6200,3437929,5616197
1760,1560,3449223,5480398
3250,2975,3558087,5547285
2725,2340,3439767,5541358
